merchant_order_id,transaction_hash,expected_usd,recorded_usd,merchant_status,recorded_at
ORDER-2001,0x1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b,150.00,150.00,COMPLETED,2023-10-25T08:15:30Z
ORDER-2002,0x2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c,500.00,498.50,NEEDS_REVIEW,2023-10-25T09:22:10Z
ORDER-2003,0x3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d,75.50,75.50,NEEDS_REVIEW,2023-10-25T10:05:45Z
ORDER-2004,f84130ff13b2c1d4c8d8f25173f683ec014a2faaa4b9fb7b288fbec7128bfdab,1200.00,1200.00,NEEDS_REVIEW,2023-10-25T11:30:00Z
ORDER-2005,0x5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,25.00,25.00,NEEDS_REVIEW,2023-10-25T12:45:15Z
ORDER-2006,0x6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a,340.25,340.25,NEEDS_REVIEW,2023-10-25T13:10:22Z
ORDER-2007,db5950566eb16cc1a4084be79c9873317aafe46980693f4f69ade9b0ce9ac2c1,890.00,0.00,NEEDS_REVIEW,2023-10-25T14:55:05Z
ORDER-2008,0x8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c,45.00,45.00,NEEDS_REVIEW,2023-10-25T15:20:40Z
ORDER-2009,0x9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d,2100.50,2100.50,NEEDS_REVIEW,2023-10-25T16:05:12Z
ORDER-2010,6b21ff0898b6f03f353905a88e8046dd1d63d9c5158a9ce7d7b41afc12f811cd,130.00,130.00,PENDING,2023-10-25T17:42:55Z
